rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,display
19.0,Switzerland,SUI,1617.24,1616.41,0,UEFA,2024-06-20,🇨🇭 Switzerland
93.0,Syria,SYR,1246.68,1266.52,4,AFC,2024-06-20,🇸🇾 Syria
161.0,Tahiti,TAH,999.48,999.48,-1,OFC,2024-06-20,🇵🇫 Tahiti
102.0,Tajikistan,TJK,1212.41,1216.76,3,AFC,2024-06-20,🇹🇯 Tajikistan
114.0,Tanzania,TAN,1174.99,1159.81,-5,CAF,2024-06-20,🇹🇿 Tanzania
100.0,Thailand,THA,1218.56,1208.93,-1,AFC,2024-06-20,🇹🇭 Thailand
132.0,The Gambia,GAM,1112.55,1114.8,2,CAF,2024-06-20,🇬🇲 Gambia
196.0,Timor-Leste,TLS,843.4,843.4,-2,AFC,2024-06-20,🇹🇱 Timor-Leste
120.0,Togo,TOG,1158.7,1170.34,7,CAF,2024-06-20,🇹🇬 Togo
200.0,Tonga,TGA,833.12,833.12,-1,OFC,2024-06-20,🇹🇴 Tonga
99.0,Trinidad and Tobago,TRI,1219.44,1220.65,1,CONCACAF,2024-06-20,🇹🇹 Trinidad and Tobago
41.0,Tunisia,TUN,1494.06,1493.12,0,CAF,2024-06-20,🇹🇳 Tunisia
42.0,Turkey,TUR,1493.38,1495.94,2,UEFA,2024-06-20,🇹🇷 Turkey
144.0,Turkmenistan,TKM,1065.42,1072.52,1,AFC,2024-06-20,🇹🇲 Turkmenistan
206.0,Turks and Caicos Islands,TCA,817.03,817.03,0,CONCACAF,2024-06-20,🇹🇨 Turks and Caicos Islands
94.0,Uganda,UGA,1242.96,1242.15,2,CAF,2024-06-20,🇺🇬 Uganda
24.0,Ukraine,UKR,1565.37,1568.86,2,UEFA,2024-06-20,🇺🇦 Ukraine
69.0,United Arab Emirates,UAE,1368.84,1366.45,2,AFC,2024-06-20,🇦🇪 United Arab Emirates
14.0,Uruguay,URU,1663.44,1659.39,-1,CONMEBOL,2024-06-20,🇺🇾 Uruguay
208.0,US Virgin Islands,VIR,797.29,797.29,0,CONCACAF,2024-06-20,🇻🇮 U.S. Virgin Islands
11.0,USA,USA,1676.52,1681.13,0,CONCACAF,2024-06-20,🇺🇸 United States
62.0,Uzbekistan,UZB,1397.41,1386.58,-2,AFC,2024-06-20,🇺🇿 Uzbekistan
170.0,Vanuatu,VAN,972.14,972.14,-2,OFC,2024-06-20,🇻🇺 Vanuatu
54.0,Venezuela,VEN,1442.29,1442.29,0,CONMEBOL,2024-06-20,🇻🇪 Venezuela
116.0,Vietnam,VIE,1168.02,1164.54,1,AFC,2024-06-20,🇻🇳 Vietnam
29.0,Wales,WAL,1521.4,1531.38,0,UEFA,2024-06-20,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Wales
155.0,Yemen,YEM,1021.24,1017.05,-1,AFC,2024-06-20,🇾🇪 Yemen
90.0,Zambia,ZAM,1258.4,1278.26,4,CAF,2024-06-20,🇿🇲 Zambia
129.0,Zimbabwe,ZIM,1122.54,1143.66,7,CAF,2024-06-20,🇿🇼 Zimbabwe
